From,To,Study,Author,Year,Notes,Theory Used
Punishment severity,Self-efficacy,"Sanction severity and employees’ information security policy compliance: Investigating mediating, moderating, and control variables",Chen et al.,2018,"Perceived descriptive norm, perceived response cost, perceived sanction severity, perceived self-efficacy",
Response Efficacy,Attitude,Understanding computer security behavioral intention in the workplace: An empirical study of Korean firms,"Yoon, C.; Kim, H",2013,"Moral obligations, attitude",PMT
Response Efficacy,Behavior,Investigating the impact of cybersecurity policy awareness on employees’ cybersecurity behavior,Li et al.,2019a,"Cue to action, peer behavior, perceived barriers, perceived severity, perceived vulnerability, prior experience, response efficacy, self-efficacy",
Response Efficacy,Compliance Intention,An enhanced fear appeal rhetorical framework: Leveraging threats to the human asset through sanctioning rhetoric.,"Warkentin, M.; Siponen, M.",2015,Fear and protection motivation,
Response Efficacy,Intent,Fear appeals and information security behaviors: An empirical study,"Warkentin, M.; Johnston, A.C",2010,"Social influence, response efficacy, self-efficacy",
Response Efficacy,Intent,Speak their language: Designing effective messages to improve employees’ information security decision making,Johnston et al.,2019,"Fear appeal rhetoric, rhetoric preferences, response costs, response efficacy, self-efficacy, threat severity, threat susceptibility",
Response Efficacy,Intent,The sufficiency of the theory of planned behavior for explaining information security policy compliance,Sommestad et al.,2015,"Anticipated regret, attitude, compliance behavior intentions, perceived norm, response cost, response efficacy, self-efficacy, severity, vulnerability",
Response Efficacy,Intent,Understanding information systems security policy compliance,P Ifinedo ,2012,"Perceived vulnerability, response efficacy, self-efficacy, attitude, subjective norms.","PMT, TPB"
Response Efficacy,Intent,What do systems users have to fear? Using fear appeals to engender threats and fear that motivate protective security behaviors. ,"Boss, S.; Galletta, D.",2015,Fear and protection motivation,PMT
Satisfaction,Intent,Security culture and the employment relationship as drivers of employees’ security compliance,"D’Arcy, J.; Greene, G",2014,"Job satisfaction, perceived organizational support, and security culture",Social Exchange Theory
Self-control,Intent,Understanding information security policy violation from a situational action perspective,Li et al.,2020,"Cognitive moral development, harmfulness, moral belief, sanction certainty, sanction severity, self-control",
Self-efficacy,Attitude,Understanding computer security behavioral intention in the workplace: An empirical study of Korean firms,"Yoon, C.; Kim, H",2013,"Moral obligations, attitude",PMT
Self-efficacy,Behavior,"Cognitive-affective drivers of employees' daily compliance with information security policies: A multilevel, longitudinal study",D'Arcy and Lowry,2019,"Benefits of ISP compliance, daily attitude, daily coworker ISP compliance behavior, daily deviance behavior, daily negative affect, daily organizational citizenship behaviors, daily positive affect, daily work‐impediment events, moral beliefs, perceived computer monitoring, subjective norms",
Self-efficacy,Behavior,"Information systems security policy compliance: An empirical study of the effects of socialisation, influence, and cognition","Ifinedo, P.",2014,"Attitude, subjective norms, locus of control, self-efficacy",
Self-efficacy,Behavior,Motivating information security policy compliance: The critical role of supervisor- subordinate guanxi and organizational commitment,Liu et al.,2020,"Organizational commitment, perceived cost, perceived effectiveness, perceived threat, self-efficacy",TPB
Self-efficacy,Behavior,Investigating the impact of cybersecurity policy awareness on employees’ cybersecurity behavior,Li et al.,2019a,"Cue to action, peer behavior, perceived barriers, perceived severity, perceived vulnerability, prior experience, response efficacy, self-efficacy",
Self-efficacy,Behavior,Security monitoring and information security assurance behaviour among employees: An empirical analysis,"Ahmad, Z.; Ong, T.S",2019,"Security monitoring, outcome expectation, self-efficacy",Social cognitive learning theory
Self-efficacy,Behavior,The mediating role of psychological empowerment in information security compliance intentions,Dhillon et al.,2020,"Psychological empowerment, structural empowerment (access, participation, SETA)",
Self-efficacy,Compliance Intention,An enhanced fear appeal rhetorical framework: Leveraging threats to the human asset through sanctioning rhetoric.,"Warkentin, M.; Siponen, M.",2015,Fear and protection motivation,
Self-efficacy,Compliance Intention,Compliance with information security policies: An empirical investigation,"Siponen, M.; Pahnila, S.",2010,Deterrence and intention to comply,
Self-efficacy,Intent,Fear appeals and information security behaviors: An empirical study,"Warkentin, M.; Johnston, A.C",2010,"Social influence, response efficacy, self-efficacy",
Self-efficacy,Intent,Institutional governance and protection motivation: Theoretical insights into shaping employees’ security compliance behavior in higher education institutions in the developing wor,Hina et al.,2019,"Negative experience, perceived severity, perceived vulnerability, provision of policies, response efficacy, self-efficacy, SETA programs, subjective norms",
Self-efficacy,Intent,"Sanction severity and employees’ information security policy compliance: Investigating mediating, moderating, and control variables",Chen et al.,2018,"Perceived descriptive norm, perceived response cost, perceived sanction severity, perceived self-efficacy",
Self-efficacy,Intent,Speak their language: Designing effective messages to improve employees’ information security decision making,Johnston et al.,2019,"Fear appeal rhetoric, rhetoric preferences, response costs, response efficacy, self-efficacy, threat severity, threat susceptibility",
Self-efficacy,Intent,The sufficiency of the theory of planned behavior for explaining information security policy compliance,Sommestad et al.,2015,"Anticipated regret, attitude, compliance behavior intentions, perceived norm, response cost, response efficacy, self-efficacy, severity, vulnerability",
Self-efficacy,Intent,Understanding information systems security policy compliance,P Ifinedo ,2012,"Perceived vulnerability, response efficacy, self-efficacy, attitude, subjective norms.","PMT, TPB"
Self-efficacy,Intent,Why deterrence is not enough: The role of endogenous motivations on employees’ information security behavior.,"Franz, J.; Haeussinger, F.",2014,General motivations (locus of control) and situational motivations,
Self-efficacy,Protective movitation,Continuance of protective security behavior: A longitudinal study,"Merrill, W.; Allen, C.",2016,"Continues intention, perceived extraneous circumstances",
Social,Benefits,Cybonto,,,,
Social,Costs,Cybonto,,,,
Social,Intent,Fear appeals and information security behaviors: An empirical study,"Warkentin, M.; Johnston, A.C",2010,"Social influence, response efficacy, self-efficacy",
Social,Intent,How paternalistic leadership influences IT security policy compliance: The mediating role of the social bond,Feng et al.,2019,"Paternalistic leadership, social bond",
Subjective norms,Attitude,"Information systems security policy compliance: An empirical study of the effects of socialisation, influence, and cognition","Ifinedo, P.",2014,"Attitude, subjective norms, locus of control, self-efficacy",
Subjective norms,Attitude,Security monitoring and information security assurance behaviour among employees: An empirical analysis,"Ahmad, Z.; Ong, T.S",2019,"Security monitoring, outcome expectation, self-efficacy",Social cognitive learning theory
Subjective norms,Attitude,The role of norms in information security policy compliance,Wiafe et al.,2020,"Attitude, descriptive norm, personal norm, subjective norm",
Subjective norms,Behavior,"Information systems security policy compliance: An empirical study of the effects of socialisation, influence, and cognition","Ifinedo, P.",2014,"Attitude, subjective norms, locus of control, self-efficacy",
Subjective norms,Desire,Explaining the misuse of information systems resources in the workplace: A dual-process approach.,"Chu, A.M.; Chau,",2015,"Intention to commit, desire to commit",PMT
Subjective norms,Intent,Explaining the misuse of information systems resources in the workplace: A dual-process approach.,"Chu, A.M.; Chau,",2015,"Intention to commit, desire to commit",
Subjective norms,Intent,Understanding information systems security policy compliance,P Ifinedo ,2012,"Perceived vulnerability, response efficacy, self-efficacy, attitude, subjective norms.","PMT, TPB"
Subjective norms,Intent,Understanding the violation of IS security policy in organizations,"L Cheng, Y Li,",2013,"Commitment, involvement, personal norms, social pressure, perceived severity, and certainty","GDT, Social Bond Theory(SBT)"
Subjective norms,Norms,Cybonto,,,,
Subjective norms,Personal norms,The role of norms in information security policy compliance,Wiafe et al.,2020,"Attitude, descriptive norm, personal norm, subjective norm",
Support,Commitment,Do I really belong? Impact of employment status on information security policy compliance,"Sharma, S.; Warkentin, M",2019,"Organizational commitment, perceived organizational support, response cost",
Support,Intent,Do I really belong? Impact of employment status on information security policy compliance,"Sharma, S.; Warkentin, M",2019,"Organizational commitment, perceived organizational support, response cost",
Threat,Moral belief,Understanding information security policy violation from a situational action perspective,Li et al.,2020,"Cognitive moral development, harmfulness, moral belief, sanction certainty, sanction severity, self-control",
Threat appraisal,Appraisal,Cybonto,,,,
Threat appraisal,Compliance Intention,Compliance with information security policies: An empirical investigation,"Siponen, M.; Pahnila, S.",2010,Deterrence and intention to comply,
Threat serverity,Behavior,The mediating role of psychological empowerment in information security compliance intentions,Dhillon et al.,2020,"Psychological empowerment, structural empowerment (access, participation, SETA)",
Threat serverity,Intent,Institutional governance and protection motivation: Theoretical insights into shaping employees’ security compliance behavior in higher education institutions in the developing wor,Hina et al.,2019,"Negative experience, perceived severity, perceived vulnerability, provision of policies, response efficacy, self-efficacy, SETA programs, subjective norms",
Threat severity,Attitude,Determinants of early conformance with information security policies,"F Bélanger, S Collignon",2017,"Security awareness, intention to confirm early",PMT
Threat severity,Attitude,Understanding computer security behavioral intention in the workplace: An empirical study of Korean firms,"Yoon, C.; Kim, H",2013,"Moral obligations, attitude",PMT
Threat severity,Compliance Intention,An enhanced fear appeal rhetorical framework: Leveraging threats to the human asset through sanctioning rhetoric.,"Warkentin, M.; Siponen, M.",2015,Fear and protection motivation,
Threat severity,Fear,What do systems users have to fear? Using fear appeals to engender threats and fear that motivate protective security behaviors. ,"Boss, S.; Galletta, D.",2015,Fear and protection motivation,PMT
Threat severity,Intent,Speak their language: Designing effective messages to improve employees’ information security decision making,Johnston et al.,2019,"Fear appeal rhetoric, rhetoric preferences, response costs, response efficacy, self-efficacy, threat severity, threat susceptibility",
Threat severity,Intent,The sufficiency of the theory of planned behavior for explaining information security policy compliance,Sommestad et al.,2015,"Anticipated regret, attitude, compliance behavior intentions, perceived norm, response cost, response efficacy, self-efficacy, severity, vulnerability",
Threat severity,Intent,Understanding information systems security policy compliance,P Ifinedo ,2012,"Perceived vulnerability, response efficacy, self-efficacy, attitude, subjective norms.","PMT, TPB"
Threat severity,Intent,Understanding the violation of IS security policy in organizations,"L Cheng, Y Li,",2013,"Commitment, involvement, personal norms, social pressure, perceived severity, and certainty","GDT, Social Bond Theory(SBT)"
Threat severity,Protective movitation,Continuance of protective security behavior: A longitudinal study,"Merrill, W.; Allen, C.",2016,"Continues intention, perceived extraneous circumstances",
Threat severity,Response Efficacy,An enhanced fear appeal rhetorical framework: Leveraging threats to the human asset through sanctioning rhetoric.,"Warkentin, M.; Siponen, M.",2015,Fear and protection motivation,
Threat severity,Response Efficacy,Fear appeals and information security behaviors: An empirical study,"Warkentin, M.; Johnston, A.C",2010,"Social influence, response efficacy, self-efficacy",
Threat severity,Response Efficacy,Speak their language: Designing effective messages to improve employees’ information security decision making,Johnston et al.,2019,"Fear appeal rhetoric, rhetoric preferences, response costs, response efficacy, self-efficacy, threat severity, threat susceptibility",
Threat severity,Self-efficacy,An enhanced fear appeal rhetorical framework: Leveraging threats to the human asset through sanctioning rhetoric.,"Warkentin, M.; Siponen, M.",2015,Fear and protection motivation,PMT
Threat severity,Self-efficacy,Fear appeals and information security behaviors: An empirical study,"Warkentin, M.; Johnston, A.C",2010,"Social influence, response efficacy, self-efficacy",
Threat severity,Self-efficacy,Speak their language: Designing effective messages to improve employees’ information security decision making,Johnston et al.,2019,"Fear appeal rhetoric, rhetoric preferences, response costs, response efficacy, self-efficacy, threat severity, threat susceptibility",
Threat severity,Threat,Cybonto,,,,
Threat susceptibility,Fear,What do systems users have to fear? Using fear appeals to engender threats and fear that motivate protective security behaviors. ,"Boss, S.; Galletta, D.",2015,Fear and protection motivation,PMT
Threat susceptibility,Intent,Speak their language: Designing effective messages to improve employees’ information security decision making,Johnston et al.,2019,"Fear appeal rhetoric, rhetoric preferences, response costs, response efficacy, self-efficacy, threat severity, threat susceptibility",
Threat susceptibility,Intent,Understanding information systems security policy compliance,P Ifinedo ,2012,"Perceived vulnerability, response efficacy, self-efficacy, attitude, subjective norms.","PMT, TPB"
Threat susceptibility,Protective movitation,Continuance of protective security behavior: A longitudinal study,"Merrill, W.; Allen, C.",2016,"Continues intention, perceived extraneous circumstances",
Threat susceptibility,Response Efficacy,Speak their language: Designing effective messages to improve employees’ information security decision making,Johnston et al.,2019,"Fear appeal rhetoric, rhetoric preferences, response costs, response efficacy, self-efficacy, threat severity, threat susceptibility",
Threat susceptibility,Self-efficacy,Speak their language: Designing effective messages to improve employees’ information security decision making,Johnston et al.,2019,"Fear appeal rhetoric, rhetoric preferences, response costs, response efficacy, self-efficacy, threat severity, threat susceptibility",
Threat susceptibility,Threat,Cybonto,,,,
Uncertainty,Knowledge,An examination of factors that influence the number of information security policy violations in Qatari organizations,Al-Mukahal and Alshare,2015,"Avoidance, awareness of ISP, impact of ISP on work environment, individualism, scope of ISP, trust, uncertainty",
Vulnerability,Attitude,Determinants of early conformance with information security policies,"F Bélanger, S Collignon",2017,"Security awareness, intention to confirm early",Theory of Inertia
Vulnerability,Behavior,Investigating the impact of cybersecurity policy awareness on employees’ cybersecurity behavior,Li et al.,2019a,"Cue to action, peer behavior, perceived barriers, perceived severity, perceived vulnerability, prior experience, response efficacy, self-efficacy",
Vulnerability,Intent,Institutional governance and protection motivation: Theoretical insights into shaping employees’ security compliance behavior in higher education institutions in the developing wor,Hina et al.,2019,"Negative experience, perceived severity, perceived vulnerability, provision of policies, response efficacy, self-efficacy, SETA programs, subjective norms",
Vulnerability,Intent,The sufficiency of the theory of planned behavior for explaining information security policy compliance,Sommestad et al.,2015,"Anticipated regret, attitude, compliance behavior intentions, perceived norm, response cost, response efficacy, self-efficacy, severity, vulnerability",
Vulnerability,Threat,Cybonto,,,,
